#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-7229.957744013091,-5864.88678309012,261.4335975647178,0
1000,2.0000000000000013,-7070.596828447833,-5424.822616824437,315.19289856772554,940
1500,2.999999999999891,-6927.452250167065,-5397.482151607355,293.01450143109565,961
2000,3.999999999999781,-6977.9029313137635,-5468.557217308023,289.0645917151519,1.05e+03
2500,4.999999999999671,-6975.18240575962,-5438.246931380044,294.3484857521354,1.1e+03
3000,5.999999999999561,-7071.758249849369,-5416.661417445116,316.9783341672224,1.13e+03
3500,6.999999999999451,-6992.010009211405,-5314.350594591544,321.29944069415916,1.15e+03
4000,7.999999999999341,-7070.304074457823,-5415.936128006183,316.83874048875356,1.16e+03
4500,8.999999999999675,-7090.881844083917,-5421.031885211695,319.80380114898304,1.17e+03
5000,10.000000000000009,-7019.00018787565,-5340.417122733071,321.47633499926064,1.18e+03
5500,11.000000000000343,-6958.046033022854,-5274.695397566718,322.38940332639953,1.18e+03
6000,12.000000000000677,-7089.583918007957,-5332.98414392367,336.4178211729903,1.19e+03
6500,13.00000000000101,-6898.098118078053,-5272.531386178185,311.32283300112226,1.19e+03
7000,14.000000000001345,-6957.874191049084,-5384.763678150145,301.27660211596526,1.2e+03
7500,15.000000000001679,-7007.337732387029,-5381.383367045021,311.3970711969495,1.2e+03
8000,16.00000000000201,-6962.7218804516115,-5305.887726079902,317.311059970556,1.21e+03
8500,17.000000000001457,-7095.001184603045,-5502.564607133831,304.97786214713517,1.21e+03
9000,18.000000000000902,-7005.510916024902,-5492.950661415335,289.68022924509233,1.21e+03
9500,19.000000000000348,-7216.63179597546,-5692.256606636398,291.9429840613223,1.22e+03
10000,19.999999999999794,-7031.386854587235,-5549.258036869565,283.8521072987187,1.22e+03
10500,20.99999999999924,-7097.953084193183,-5580.222821887125,290.6703709668215,1.22e+03
11000,21.999999999998685,-7003.353088959956,-5383.724529648615,310.18557503635753,1.22e+03
11500,22.99999999999813,-6945.558963473581,-5201.431929968856,334.02908568996315,1.23e+03
12000,23.999999999997577,-7135.34231486512,-5389.1022253748815,334.43377075320325,1.23e+03
12500,24.999999999997023,-6879.9538312441255,-5202.384125371062,321.2822599899469,1.23e+03
13000,25.99999999999647,-7045.627642472101,-5489.766017997237,297.97315556718695,1.23e+03
13500,26.999999999995914,-7185.672485129001,-5578.147661646842,307.86751004751886,1.23e+03
14000,27.99999999999536,-7060.273017493995,-5449.258222613564,308.5358971161526,1.23e+03
14500,28.999999999994806,-6975.298678937101,-5378.211022260535,305.8686205066231,1.23e+03
15000,29.99999999999425,-6950.453231327955,-5346.322816222106,307.2174248733221,1.23e+03
15500,30.999999999993697,-6941.276562570142,-5321.103164858874,310.2899205737412,1.23e+03
16000,31.999999999993143,-7010.364900239315,-5414.194336230111,305.69298213895433,1.23e+03
16500,32.999999999994365,-6976.597503666541,-5406.978783250346,300.60786627962733,1.24e+03
17000,33.99999999999559,-7079.002226178324,-5506.509021521864,301.1583774087833,1.24e+03
17500,34.99999999999681,-7072.54648407413,-5557.176404112059,290.21835713108663,1.24e+03
18000,35.99999999999803,-7139.29799644901,-5563.385016484529,301.8133207686759,1.24e+03
18500,36.999999999999254,-7057.980994211648,-5549.234607856434,288.94981058780934,1.24e+03
